Protein_ID,AAO_1,AAO_2,AAO_3,AAO_4,AAO_5,AAO_6,AAO_7,AAO_8,AAO_9,AAO_10,AAO_11,AAO_12,AAO_13,AAO_14,AAO_15,AAO_16,AAO_17,AAO_18,AAO_19,AAO_20
Q5HJF4,-335,-634,-498,-609,-1478,-392,-375,-1007,-724,-837,-811,-405,-463,-1037,-1127,-364,-316,-1585,-703,-701
P46033,-243,-602,-544,-550,-1000,-513,-418,-682,-600,-667,-642,-469,-509,-723,-738,-365,-419,-1081,-599,-571
Q47N75,-453,-548,-549,-608,-1123,-434,-367,-839,-632,-564,-562,-403,-468,-671,-857,-471,-448,-1132,-657,-562
Q45068,-53,-742,-689,-909,-871,-545,-707,-526,-785,-205,-280,-570,-146,-345,-839,-253,-180,-878,-472,-169
Q8RP81,-381,-906,-773,-853,-1251,-744,-689,-893,-983,-753,-859,-634,-766,-1132,-1214,-523,-570,-1646,-1052,-722
Q8G4V2,-333,-729,-714,-684,-1630,-614,-506,-1114,-876,-677,-650,-503,-704,-902,-1302,-623,-608,-1518,-825,-621
P43163,54,-190,-149,-251,-372,-88,-155,-166,-250,-350,-329,-159,-221,-395,-232,35,-44,-521,-296,-224
P0A5T0,-157,-206,-310,-219,-467,-247,-204,-361,-305,-148,-234,-211,-194,-378,-363,-227,-160,-581,-304,-132
P0A668,-42,-213,-110,-202,-350,-101,-162,-211,-245,-182,-181,-153,-160,-323,-230,-31,-29,-499,-268,-124
P39046,-50,-656,-31,-509,-959,-121,-447,-603,-789,-682,-829,-146,-787,-1021,-323,148,252,-1413,-656,-485
O05724,-220,-294,-239,-226,-440,-232,-152,-384,-284,-241,-302,-145,-264,-349,-363,-258,-232,-500,-284,-213
P11701,-190,-744,-84,-363,-1575,-265,-325,-809,-780,-993,-1108,-293,-791,-1232,-888,53,29,-1662,-893,-684
P36921,-130,-189,-207,-287,-441,-157,-168,-253,-274,-219,-273,-107,-262,-377,-376,-194,-184,-360,-274,-217
Q4JVH7,-466,-837,-816,-806,-1244,-705,-676,-977,-897,-804,-912,-657,-832,-1150,-1105,-545,-534,-1528,-1020,-699
P50846,28,-235,-274,-281,-324,-168,-180,-227,-342,-161,-172,-191,-126,-307,-255,-89,-75,-516,-326,-95
P19080,-58,-88,-131,-153,-238,-38,-58,-226,-146,-103,-101,-69,-42,-219,-161,-55,-27,-304,-182,-60
P43440,-197,-657,-601,-827,-840,-531,-681,-608,-735,-75,-38,-593,-74,-165,-746,-146,-110,-774,-376,-109
Q8Y960,-175,-110,-114,-205,-632,99,38,-525,-252,-350,-290,25,-156,-510,-453,-42,-112,-712,-361,-268
P00649,-68,-171,-138,-207,-325,-118,-143,-233,-198,-186,-216,-132,-140,-235,-268,-54,-29,-382,-179,-139
Q45588,-84,-205,-191,-249,-413,-141,-106,-313,-233,-243,-239,-128,-154,-331,-341,-83,-80,-477,-252,-166
O34777,-98,-72,-129,-149,-386,-34,-22,-306,-125,-148,-98,-44,-87,-232,-304,-77,-84,-396,-217,-152
P40411,-46,-636,-710,-941,-729,-548,-758,-531,-768,-68,-12,-630,-47,-300,-742,-228,-227,-762,-504,-99
O06493,-23,-990,-859,-1149,-843,-768,-1001,-478,-985,-52,-92,-850,-62,-191,-898,-256,-197,-746,-420,-34
P0A609,-67,-326,-118,-257,-493,-272,-282,-118,-246,-306,-320,-208,-286,-434,-243,-61,-72,-680,-412,-200
P50738,-116,-347,-393,-489,-459,-287,-339,-408,-301,-84,-49,-286,-29,-58,-448,-202,-173,-355,-67,-87
P0C0P9,-119,-148,-46,-172,-357,-50,-117,-223,-117,-231,-241,-120,-126,-234,-284,-52,-65,-357,-145,-185
A5U697,79,-74,-114,-132,-502,84,33,-275,-283,-321,-249,-2,-117,-464,-351,26,-47,-613,-379,-240
Q03VA1,-266,-415,-507,-489,-1164,-252,-170,-859,-677,-615,-587,-320,-505,-968,-1013,-363,-424,-1296,-826,-597
Q8EUR6,-894,-1438,-1432,-1403,-2859,-1240,-970,-1813,-1787,-1401,-1548,-983,-1531,-1991,-2336,-1179,-1176,-3062,-1903,-1248
P33113,-284,-275,-456,-491,-1052,-173,-254,-785,-389,-197,-213,-419,-163,-571,-863,-248,-274,-1066,-542,-285
Q5HKP9,-99,-145,-161,-226,-187,-120,-142,-246,-170,-12,-43,-135,-16,-83,-220,-94,-39,-193,-79,-18
P47481,-478,-655,-1000,-831,-2323,-656,-336,-1369,-1259,-622,-748,-432,-704,-1509,-1356,-651,-721,-2611,-1408,-625
P22094,27,-574,-425,-610,-402,-450,-567,-177,-478,-122,-137,-513,-123,-76,-462,-184,-166,-420,-264,-81
A6QIG2,-383,-465,-215,-581,-1232,-305,-394,-934,-628,-673,-844,-119,-493,-967,-991,-148,-137,-1552,-696,-497
P55111,-29,-455,-108,-292,-1011,-231,-340,-310,-526,-591,-616,-264,-439,-739,-606,2,-29,-1055,-447,-405
A5U654,-49,-315,-260,-309,-545,-255,-246,-200,-332,-220,-289,-254,-283,-438,-455,-168,-108,-680,-415,-194
P26829,-224,-535,-500,-546,-1032,-398,-349,-675,-458,-458,-544,-379,-439,-769,-812,-312,-306,-1217,-678,-353
Q4A6A2,-747,-1179,-901,-1108,-2069,-1034,-791,-1639,-1400,-665,-867,-831,-1149,-1390,-1594,-825,-807,-2601,-1369,-747
P0A672,-130,-166,-223,-173,-478,-105,-57,-378,-223,-158,-183,-137,-121,-355,-314,-121,-120,-531,-292,-129
O32271,-169,-501,-393,-511,-975,-455,-375,-636,-619,-350,-465,-313,-419,-723,-728,-294,-320,-1205,-637,-287
P37957,-43,-232,-183,-288,-408,-155,-253,-212,-202,-209,-161,-215,-142,-307,-302,-76,-113,-506,-252,-150
Q83GH3,-402,-629,-728,-720,-1419,-712,-554,-1029,-743,-800,-755,-638,-767,-930,-1188,-633,-648,-1339,-871,-735
O52866,-120,-336,-422,-408,-608,-318,-408,-478,-179,-382,-275,-484,-299,-319,-455,-282,-296,-513,-349,-310
P19579,-156,-259,-296,-408,-841,-157,-216,-553,-376,-457,-496,-141,-294,-613,-549,-146,-167,-976,-459,-313
P22629,7,-168,-79,-171,-268,-79,-127,-156,-233,-183,-211,-119,-133,-255,-242,25,7,-354,-206,-121
O33635,-207,-858,-131,-933,-2566,-62,-427,-1333,-1197,-1694,-1828,45,-1279,-2125,-1227,141,189,-2698,-1239,-1186
P39570,-74,-666,-543,-826,-705,-493,-648,-399,-664,86,-10,-540,-29,-35,-660,-173,-137,-548,-256,-13
Q06852,-343,-2053,-2112,-2281,-4971,-481,-566,-2363,-2443,-2957,-2905,-1079,-2140,-4206,355,780,570,-5885,-3578,-1490
P42252,-131,-461,-550,-632,-508,-406,-472,-493,-485,-8,-29,-432,-77,42,-513,-248,-179,-453,-192,-54
O07628,-72,-117,-156,-157,-160,-62,-70,-217,-128,-99,-70,-98,-37,-139,-179,-93,-74,-223,-102,-90
P42086,-37,-802,-730,-1000,-701,-638,-815,-393,-795,-13,-78,-736,-72,-227,-596,-204,-138,-921,-518,6
P35154,-310,-294,-293,-267,-728,-138,-93,-684,-366,-202,-196,-147,-206,-386,-554,-268,-232,-778,-355,-247
Q11010,-401,-904,-708,-836,-1814,-522,-534,-1404,-936,-894,-829,-625,-762,-1012,-1271,-247,-338,-1726,-859,-753
Q04707,-280,-665,-550,-837,-1890,-442,-669,-874,-1075,-790,-846,-476,-668,-1129,-904,-303,-307,-1465,-652,-663
Q10744,-238,-429,-322,-378,-972,-206,-247,-750,-501,-587,-523,-246,-346,-627,-756,-210,-213,-987,-499,-480
O07151,-672,-988,-1172,-1071,-2072,-911,-620,-1556,-1177,-980,-1135,-699,-909,-1400,-1639,-887,-859,-2169,-1220,-1009
P0C1D7,-98,-678,-397,-678,-1228,-406,-517,-422,-724,-864,-852,-560,-600,-901,-813,-97,-295,-1199,-677,-660
Q07428,-86,-128,-178,-159,-292,-120,-87,-194,-228,-96,-177,-78,-103,-245,-243,-107,-86,-366,-222,-87
O07002,-36,-1153,-839,-1357,-858,-934,-1187,-451,-1113,57,-89,-985,-98,52,-956,-234,-260,-574,-361,0
P0A574,-89,-526,-533,-571,-722,-510,-506,-429,-625,-446,-497,-489,-374,-672,-737,-242,-262,-1052,-654,-349
O34559,-115,-302,-313,-372,-745,-163,-180,-414,-338,-430,-336,-229,-213,-464,-483,-133,-186,-652,-309,-346
P0C2S1,-211,-961,-644,-814,-1788,-684,-802,-869,-1018,-1189,-1092,-739,-848,-1226,-1054,-237,-325,-1732,-785,-887
P45702,-394,-690,-593,-807,-1415,-400,-448,-938,-743,-906,-890,-583,-592,-1001,-1061,-287,-380,-1527,-758,-728
P25953,-150,-213,-358,-396,-769,-202,-227,-511,-439,-293,-272,-270,-208,-546,-504,-189,-185,-887,-497,-250
P19580,-283,-450,-433,-555,-967,-278,-294,-790,-576,-433,-525,-320,-302,-708,-734,-290,-253,-1154,-569,-350
P56968,-234,-353,-465,-423,-642,-336,-284,-493,-344,-327,-353,-281,-298,-424,-457,-283,-290,-696,-393,-274
P46712,-322,-908,-853,-836,-1312,-858,-677,-930,-1073,-764,-811,-595,-752,-1120,-1218,-621,-667,-1737,-1139,-603
P08954,-209,-317,-167,-307,-618,-174,-224,-497,-298,-313,-310,-147,-200,-372,-492,-97,-85,-642,-249,-257
Q2QBT0,-22,-71,-31,-56,-47,-44,-52,-64,-84,-61,-68,-32,-42,-96,-81,-1,2,-129,-95,-52
P13375,-335,-876,-711,-835,-1402,-696,-670,-956,-822,-758,-717,-716,-683,-841,-1177,-572,-607,-1492,-871,-693
P46339,7,-450,-459,-694,-717,-419,-571,-379,-637,112,99,-480,26,22,-436,-154,-72,-338,-229,17
Q9ZFB5,-198,-568,-588,-766,-643,-432,-569,-611,-587,97,24,-468,42,-80,-608,-274,-147,-657,-215,11
P0C0I6,-236,-202,-32,-151,-542,-114,-120,-367,-190,-234,-266,-21,-215,-254,-408,-68,-83,-541,-132,-233
Q53062,-1,-458,-463,-473,-813,-413,-332,-453,-448,-273,-296,-352,-324,-592,-570,-240,-235,-955,-506,-233
P13267,-841,-1313,-1461,-1492,-3249,-950,-926,-2413,-1528,-1458,-1449,-931,-1289,-2012,-2372,-1163,-1159,-3529,-1808,-1469
Q2NJZ2,-763,-1225,-968,-1214,-2127,-1068,-833,-1814,-1437,-795,-961,-891,-1172,-1427,-1732,-874,-862,-2732,-1467,-830
P75361,-520,35,-538,-770,-2710,708,1045,-2506,-931,-1077,-461,641,-779,-2407,-3295,-546,-857,-3562,-2060,-1320
P0C0H0,-265,-447,-576,-711,-676,-534,-645,-712,-493,-169,-203,-520,-191,-136,-754,-356,-303,-440,-265,-201
P12876,-161,-109,-171,-203,-368,-159,-154,-242,-250,-174,-264,-4,-219,-322,-311,-159,-134,-436,-296,-104
P32081,-69,-85,-83,-100,-170,-50,-50,-102,-119,-113,-135,-49,-103,-120,-146,-57,-61,-213,-136,-87
P29767,-267,-785,-319,-653,-1801,-408,-516,-860,-1025,-980,-1008,-519,-789,-1332,-980,-32,-82,-1854,-967,-681
Q3AB78,-14,-354,-299,-310,-672,-233,-119,-401,-507,-295,-342,-128,-277,-571,-588,-210,-243,-862,-597,-208
Q88Z97,-574,-1060,-988,-1030,-2016,-875,-668,-1569,-1273,-926,-1009,-699,-903,-1317,-1571,-890,-790,-1804,-1194,-870
P06546,-338,-949,-390,-296,-2137,-462,-340,-1166,-1267,-1078,-1289,-280,-850,-1553,-1449,-173,-151,-2385,-1198,-721
P42177,-114,-280,-390,-484,-429,-264,-344,-348,-323,-59,-49,-287,-19,-95,-402,-153,-112,-293,-122,-49
P54559,65,-926,-849,-1325,-702,-772,-1176,-274,-927,118,115,-1021,152,189,-745,-163,-177,-298,-323,36
P50849,-601,-1171,-1308,-1262,-2199,-1000,-776,-1535,-1673,-1029,-1326,-880,-968,-1853,-1779,-884,-799,-2789,-1752,-853
P0C046,-17,-64,-48,-50,-210,46,12,-147,-91,-115,-106,-25,-42,-156,-170,5,-26,-231,-122,-95
P0C0J0,-161,-364,-218,-383,-798,-211,-275,-361,-384,-504,-531,-241,-328,-517,-562,-84,-196,-840,-379,-400
P45870,-105,-26,-125,-144,-392,85,19,-314,-134,-181,-151,20,-93,-270,-199,-62,-51,-392,-203,-145
O53079,-174,-545,-442,-525,-956,-310,-375,-691,-651,-505,-630,-374,-386,-878,-780,-184,-187,-1373,-745,-347
P22222,-226,-548,-329,-600,-1033,-318,-450,-521,-643,-750,-750,-453,-590,-942,-703,-152,-222,-1199,-681,-559
P15917,-614,-633,-395,-622,-1762,-268,-181,-1409,-747,-918,-869,-291,-571,-1171,-1318,-253,-464,-1966,-893,-785
P81101,-213,-314,-263,-319,-711,-207,-194,-539,-432,-309,-378,-129,-305,-595,-579,-222,-217,-844,-567,-294
Q6TYB1,-108,-173,-146,-238,-593,-86,-106,-414,-176,-288,-261,-70,-175,-302,-335,-74,-117,-492,-201,-270
Q05622,-179,-344,-146,-248,-588,-200,-146,-549,-354,-307,-356,-238,-230,-478,-460,-14,-69,-804,-372,-228
P22326,-362,-603,-597,-666,-1224,-451,-455,-833,-752,-566,-524,-408,-521,-753,-1066,-464,-426,-1292,-759,-577
P0A5P2,-28,-103,-146,-199,-198,-116,-132,-178,-173,-90,-76,-116,-75,-170,-156,-59,-32,-255,-158,-61
O34742,2,-373,-412,-545,-594,-344,-456,-309,-532,49,15,-423,0,-97,-445,-142,-95,-378,-235,17
P82594,-38,-319,-206,-317,-565,-203,-262,-284,-296,-401,-420,-253,-291,-442,-360,-6,-64,-562,-277,-289
O33654,-31,-772,-690,-955,-823,-568,-747,-571,-852,-128,-176,-594,-105,-341,-762,-200,-118,-814,-500,-112
P39141,-62,-685,-605,-824,-722,-493,-623,-524,-735,-147,-176,-528,-81,-299,-766,-217,-210,-825,-450,-88
P29141,-131,-847,-283,-570,-1640,-632,-713,-627,-873,-757,-969,-579,-815,-1019,-854,53,-145,-1617,-682,-486
A6QG59,-82,-82,-83,-186,-341,-45,-75,-253,-153,-212,-198,-27,-120,-255,-234,-40,-44,-387,-177,-143
Q9Z4Q7,-33,-255,-222,-261,-438,-165,-151,-295,-320,-210,-267,-150,-160,-402,-213,-58,-41,-602,-325,-135
P04957,-207,-300,-161,-260,-633,-229,-267,-260,-283,-347,-342,-203,-241,-224,-383,-92,-90,-326,-128,-267
P39116,-103,-480,-83,-281,-708,-331,-379,-201,-432,-383,-527,-277,-441,-543,-558,-6,-44,-708,-359,-315
P0A4N1,-120,-662,-652,-874,-948,-509,-719,-543,-820,2,5,-629,-24,-26,-666,-258,-178,-532,-298,-44
Q04FF6,-357,-804,-776,-805,-1717,-679,-548,-1204,-960,-711,-754,-546,-817,-1020,-1387,-706,-687,-1708,-885,-706
P39045,-41,-508,-361,-539,-991,-241,-346,-533,-691,-549,-532,-342,-357,-810,-612,-45,-105,-1206,-671,-385
P02968,21,-390,-1,-239,-862,-49,-299,-341,-590,-362,-389,-233,-264,-658,-707,33,19,-978,-565,-284
P0A5Q4,-55,-217,-185,-227,-416,-74,-142,-322,-218,-222,-242,-117,-157,-275,-267,-68,-58,-478,-194,-166
O69282,-391,-704,-648,-809,-1334,-541,-587,-897,-811,-770,-726,-480,-629,-988,-999,-433,-456,-1463,-908,-686
P33673,-21,-176,-123,-203,-539,-106,-154,-262,-288,-357,-350,-78,-214,-436,-352,-26,-79,-614,-333,-281
Q5HKQ0,-282,-400,-517,-748,-631,-504,-613,-679,-431,-137,-178,-483,-138,-95,-659,-319,-320,-400,-197,-214
P80696,-6,-99,-64,-113,-94,-69,-91,1,-107,-102,-105,-57,-66,-128,-120,-19,-46,-139,-92,-73
O52351,-393,-838,-712,-1087,-1290,-556,-882,-816,-1055,-59,-202,-726,-139,-305,-1044,-355,-303,-1115,-512,-248
Q10765,-1118,-1701,-1690,-1698,-3354,-1599,-1108,-2596,-2036,-1447,-1657,-1188,-1646,-2070,-2639,-1533,-1367,-3028,-1849,-1425
P95246,-195,-448,-329,-471,-981,-268,-364,-515,-505,-613,-590,-361,-441,-604,-353,-142,-159,-849,-478,-459
Q98R33,-611,-860,-855,-892,-1816,-813,-692,-1393,-924,-1041,-1017,-727,-940,-1163,-1484,-760,-821,-1707,-986,-989
P09333,-165,-1111,-549,-747,-1890,-640,-547,-1302,-1380,-1043,-1317,-468,-888,-1706,-1355,-46,39,-2545,-1425,-536
P39802,-105,-123,-182,-185,-346,-111,-93,-234,-225,-67,-121,-114,-94,-238,-252,-108,-89,-422,-239,-62
P26831,-540,-1158,-549,-846,-3299,-361,-160,-2074,-1692,-1734,-1771,-495,-1199,-2420,-2316,-304,-531,-3574,-1912,-1343
Q8EWP5,-287,-393,-322,-355,-714,-297,-252,-504,-513,-288,-420,-237,-277,-501,-545,-273,-176,-784,-471,-196
P41019,-178,-505,-490,-549,-879,-450,-369,-539,-559,-425,-526,-369,-428,-718,-733,-319,-297,-1030,-634,-370
P47437,-756,-1254,-984,-1204,-2101,-1093,-834,-1770,-1464,-732,-901,-867,-1210,-1403,-1716,-870,-869,-2708,-1414,-775
O34344,-19,-183,-145,-219,-371,-79,-108,-318,-256,-197,-196,-60,-114,-304,-334,-28,-69,-485,-238,-121
P39843,81,-1031,-918,-1425,-751,-849,-1277,-275,-1079,127,105,-1141,134,155,-775,-172,-184,-289,-385,-1
P39793,-407,-739,-279,-320,-2329,-303,-288,-933,-1117,-1103,-1285,-345,-992,-1630,-1130,-175,-355,-2069,-1049,-976
Q44856,-106,-221,-174,-197,-328,-139,-104,-290,-185,-165,-180,-90,-150,-187,-291,-135,-115,-379,-207,-101
P0A5L8,-218,-253,-222,-313,-543,-164,-158,-454,-239,-281,-272,-206,-229,-350,-446,-164,-95,-609,-267,-253
P53663,-184,-249,-37,-66,-871,185,-4,-511,-260,-653,-588,-143,-365,-549,-241,-37,-162,-803,-243,-515
P0A5B7,-161,-117,-128,-128,-450,-137,-77,-276,-179,-193,-222,-84,-185,-224,-200,-80,-126,-411,-248,-141
P23648,-130,-274,-252,-316,-653,-183,-208,-389,-414,-279,-297,-127,-232,-484,-436,-114,-106,-706,-361,-223
O31097,-163,-375,-180,-277,-780,-184,-204,-404,-357,-549,-557,-213,-362,-618,-546,-72,-179,-887,-460,-412
Q9AGJ6,-442,-766,-767,-840,-1477,-681,-580,-1028,-947,-946,-955,-595,-725,-1119,-1020,-518,-531,-1478,-970,-812
P0A312,-22,-93,-31,-94,-144,-40,-67,-49,-67,-116,-112,-68,-65,-103,-143,-16,-27,-144,-65,-80
Q07833,-953,-1105,-993,-1540,-4731,-695,-966,-2121,-1695,-2823,-2632,-1079,-2188,-3104,-2868,-241,-403,-4223,-1764,-2158
O53078,47,-212,-290,-264,-664,-194,-158,-366,-323,-300,-305,-234,-211,-492,-390,-169,-173,-697,-443,-188
P0A4G4,-91,-365,-254,-322,-651,-169,-192,-451,-330,-272,-303,-128,-283,-439,-472,-137,-146,-792,-359,-247
O31652,-33,-717,-737,-961,-655,-706,-879,-502,-771,-106,-74,-747,-152,-192,-663,-317,-288,-395,-387,-117
P81100,-96,-190,-83,-123,-377,-119,-128,-190,-215,-220,-238,-128,-176,-293,-337,-40,-64,-465,-256,-174
P39603,-41,-146,-166,-212,-167,-137,-151,-206,-111,-22,-10,-139,12,-8,-159,-73,-53,-150,-29,-20
Q45882,-520,-652,-63,-639,-1576,-440,-674,-788,-863,-465,-613,-690,-744,-586,-868,-112,-19,-1427,-396,-552
P11001,-581,-1381,-172,-780,-3329,-389,-714,-1505,-1427,-1983,-2089,-484,-1501,-1846,-2210,-194,-269,-2294,-845,-1569
Q6YPH3,-616,-751,-843,-784,-1591,-736,-533,-1172,-969,-721,-771,-619,-712,-872,-1269,-782,-646,-1683,-968,-748
P0C047,-51,-86,-86,-88,-219,4,-34,-142,-130,-142,-159,-35,-74,-198,-167,-42,-75,-262,-148,-105
Q59634,-166,-583,-298,-548,-1651,-320,-445,-826,-701,-845,-828,-357,-570,-1043,-934,-53,-51,-1395,-611,-653
P43439,-386,-569,-720,-847,-1503,-457,-285,-981,-874,-344,-259,-393,-305,-501,-1173,-386,-477,-1522,-671,-342
P24011,-250,-505,-314,-462,-754,-333,-339,-565,-454,-236,-289,-359,-145,-343,-535,-190,-144,-682,-340,-269
P22346,-415,-819,-601,-614,-1778,-420,-548,-1178,-764,-978,-899,-555,-771,-1119,-1051,-390,-263,-1657,-870,-796
A5HZZ9,-1204,-1267,28,-884,-2875,-806,-745,-2099,-1580,-917,-1296,-553,-1137,-1366,-2016,-369,-467,-2898,-920,-1151
P19368,-344,-426,-366,-418,-758,-326,-385,-628,-356,-409,-402,-346,-360,-470,-623,-370,-319,-712,-410,-396
O31760,-355,-526,-510,-626,-1224,-426,-378,-758,-521,-344,-470,-338,-342,-674,-753,-306,-310,-1357,-637,-341
O08362,-372,-495,-755,-768,-1225,-618,-605,-927,-497,-598,-452,-682,-357,-611,-872,-539,-477,-1110,-845,-539
P0A670,-19,-246,-139,-214,-370,-108,-184,-230,-291,-212,-202,-162,-175,-395,-223,-10,-38,-581,-331,-147
O68575,-264,-234,-325,-364,-686,-338,-265,-563,-401,-233,-256,-250,-258,-417,-556,-358,-321,-790,-396,-285
P37386,-151,-1025,-1011,-1167,-1458,-791,-833,-1124,-1280,-398,-625,-801,-505,-1155,-1428,-429,-341,-2041,-1335,-286
P20910,-115,-534,-385,-619,-882,-392,-473,-538,-731,-822,-781,-459,-517,-989,-656,-23,-71,-1197,-820,-593
P37105,-328,-501,-528,-595,-1291,-333,-368,-807,-854,-457,-486,-234,-271,-847,-970,-369,-362,-1483,-887,-476
P23453,-220,-241,-215,-232,-749,-180,-123,-505,-419,-184,-274,-150,-168,-394,-438,-103,-112,-847,-427,-186
Q9ZEP5,19,-204,-170,-179,-378,-129,-121,-181,-287,-317,-343,-139,-235,-421,-213,-5,-63,-552,-324,-174
P49022,-247,-491,-109,-413,-2041,224,325,-1396,-991,-718,-530,204,-630,-1444,-1584,-115,-220,-2240,-1186,-726
Q8GFE2,-67,-360,-209,-333,-604,-128,-208,-416,-429,-390,-427,-105,-300,-559,-348,-9,-10,-731,-407,-227
P82599,27,-82,-42,-42,-175,-28,-21,-13,-122,-140,-148,-9,-106,-195,-116,-3,-42,-230,-162,-107
P0A3S3,-93,-204,-125,-310,-516,-97,-158,-342,-322,-382,-337,-125,-216,-489,-373,-5,-91,-618,-357,-258
P28618,-123,-353,-340,-353,-538,-260,-233,-385,-363,-247,-326,-276,-302,-502,-416,-245,-198,-709,-416,-216
P54493,-258,-605,-617,-807,-1010,-381,-490,-734,-636,-417,-360,-504,-266,-431,-776,-240,-341,-778,-454,-371
P30195,-816,-755,-477,-864,-1985,-413,-381,-1811,-872,-832,-820,-354,-601,-949,-1561,-366,-416,-2014,-636,-859
P46713,-190,-508,-407,-462,-765,-441,-431,-578,-531,-418,-504,-365,-418,-715,-704,-265,-207,-1042,-627,-285
Q9L523,-206,-320,-413,-495,-1327,-109,-268,-762,-432,-172,-245,-427,-105,-594,-974,-191,-213,-1198,-602,-276
P25051,-276,-694,-734,-700,-941,-592,-509,-748,-765,-464,-583,-607,-573,-767,-888,-484,-517,-1269,-786,-453
P29422,-290,-511,-440,-574,-1313,-344,-431,-840,-515,-828,-826,-490,-672,-779,-684,-370,-381,-1218,-680,-639
P60158,86,-269,-27,-181,-475,63,-84,-184,-209,-394,-417,-165,-274,-482,-272,91,23,-516,-312,-269
Q8G4D8,-867,-1405,-1385,-1252,-2666,-1288,-916,-1992,-1576,-1252,-1456,-1028,-1324,-1650,-1881,-1276,-1014,-2148,-1496,-1163
Q0TV31,-212,-360,-105,-265,-829,-186,-194,-532,-317,-528,-560,-109,-383,-505,-635,-106,-112,-717,-263,-445
Q05044,27,-455,-262,-522,-720,-337,-402,-441,-633,-611,-602,-326,-428,-749,-692,100,71,-968,-583,-355
Q9KWG2,-120,-406,-507,-517,-860,-357,-375,-507,-572,-388,-435,-396,-375,-674,-750,-273,-293,-983,-619,-347
Q45066,-594,-681,-717,-868,-2016,-582,-489,-1380,-1204,-759,-907,-427,-799,-1409,-1456,-529,-537,-2285,-1238,-727
Q9CD58,-448,-726,-892,-994,-2122,-491,-494,-1045,-1103,-924,-951,-522,-819,-1412,-676,-466,-615,-2064,-1237,-814
P0C1U8,-72,-326,-18,-180,-699,-163,-187,-239,-375,-374,-465,-143,-410,-538,-236,35,-3,-809,-426,-273
Q5FIJ4,-279,-384,-297,-334,-706,-292,-246,-496,-500,-287,-418,-223,-283,-510,-532,-256,-166,-783,-465,-204
Q45070,-125,-452,-220,-418,-842,-239,-384,-410,-355,-430,-399,-313,-271,-485,-529,-82,-72,-608,-311,-352
P35155,-178,-261,-262,-262,-539,-147,-114,-433,-339,-232,-220,-146,-239,-404,-414,-170,-177,-618,-351,-241
P11959,-137,-555,-479,-547,-866,-468,-382,-537,-396,-401,-536,-422,-392,-569,-783,-375,-311,-1106,-546,-271
P54104,-61,-775,-706,-937,-775,-613,-768,-573,-811,-90,-120,-597,-130,-325,-772,-233,-155,-889,-474,-92
P27580,-39,-231,-415,-387,-782,-228,-180,-497,-459,-416,-340,-339,-226,-684,-492,-176,-144,-1046,-620,-251
P50002,-376,-697,-765,-796,-1348,-555,-546,-826,-968,-631,-700,-630,-524,-1042,-1001,-455,-430,-1612,-940,-525
P31141,107,-975,-868,-1291,-679,-793,-1142,-209,-991,92,103,-1027,116,138,-688,-146,-165,-447,-379,23
P0A4L0,-253,-514,-173,-473,-1202,-275,-273,-834,-653,-744,-829,-211,-553,-979,-782,-30,-61,-1403,-698,-542
Q02113,-120,-622,-337,-662,-1213,-349,-422,-781,-792,-626,-720,-280,-476,-936,-817,19,3,-1445,-667,-444
Q5FKI4,-723,-987,-1067,-1082,-2020,-870,-699,-1512,-1247,-1039,-1080,-814,-915,-1291,-1536,-956,-848,-2161,-1363,-1053
O32242,-50,-71,-101,-132,-172,-59,-77,-195,-120,-101,-70,-64,-82,-180,-200,-63,-65,-257,-129,-94
P46831,-28,-437,-589,-558,-1178,-259,-292,-728,-637,-700,-679,-357,-475,-846,-758,-261,-289,-1215,-714,-568
P68575,-71,-93,-80,-91,-226,-40,-11,-182,-114,-132,-130,-49,-78,-166,-136,-40,-60,-232,-130,-95
O87236,-43,-78,-27,-47,-77,-37,-33,-81,-68,-91,-87,-55,-53,-86,-105,-11,-15,-92,-71,-72
P34020,-66,-324,-185,-304,-631,-152,-244,-258,-360,-385,-396,-193,-293,-379,-468,-51,-120,-539,-199,-303
P54322,-153,-469,-548,-556,-786,-494,-460,-538,-611,-443,-471,-449,-519,-708,-739,-424,-425,-1041,-665,-384
P00343,-158,-627,-499,-599,-911,-509,-488,-608,-697,-396,-530,-441,-434,-790,-839,-307,-338,-1163,-776,-277
P01552,-224,-215,-47,-162,-585,-115,-106,-379,-237,-237,-266,-12,-206,-276,-402,-87,-79,-580,-183,-236
Q97EB7,-653,-774,-917,-894,-1753,-735,-555,-1345,-941,-905,-921,-690,-707,-1044,-1313,-823,-711,-1722,-1052,-885
P21625,-5,-224,-163,-241,-398,-129,-118,-340,-352,-214,-257,-108,-182,-432,-313,-21,11,-634,-367,-87
P39215,142,-205,-345,-348,-1694,194,125,-849,-678,-520,-402,-158,-397,-1118,-1216,-50,-64,-1707,-1045,-391
P40859,18,-328,-509,-494,-776,-308,-403,-419,-328,-462,-344,-505,-501,-562,-572,-268,-315,-791,-531,-389
P0A5I8,33,-246,-144,-162,-434,-118,-165,-199,-338,-234,-252,-126,-170,-447,-233,-3,49,-597,-399,-136
P25959,-106,-103,-141,-194,-269,-51,-98,-249,-141,-135,-119,-96,-80,-178,-247,-88,-60,-284,-120,-111
Q4A5X2,-368,-543,-733,-717,-1272,-479,-392,-954,-828,-604,-506,-518,-603,-834,-1152,-537,-593,-1547,-815,-607
